	text	labels
1804827	You mean you...	1
8447068	That's what mechanic's liens are for.	1
363053	which they might prefer to do.	1
1326493	All right.	0
672747	Is that not before us?	0
3718016	You're asking us to adopt a rather confusing body of law.	1
7760859	You're saying in the later provision it only means one of those two.	1
8521830	And then you equate that with vice, and I think that slides away a little bit from the thrust of her concern.	1
2805716	Now here's what you do next, write some checks to the party.	1
6823138	Widespread.	1
9537461	dollars of taxes of the husband.	1
1993923	They think it's crazy to swim in Tennessee?	1
8440047	but   it's not the...	1
7306382	did IRCA add provisions and impose obligations on prospective employers to require them to review the documents and make sure that they appear to be regular on their face?	1
2345711	I will tell you that's what the courts say, that it has been accepted as part of the mission.	0
1713038	Okay.	0
1796344	And it is a little curious that the State isn't willing to talk to the prisoner's counsel about considering one of the other ways of doing it.	1
743599	Not 1338?	0
4052309	A Federal habeas petitioner?	1
2168065	The Roebuck facility has been closed now, as I understand it, and the incinerator removed.	1
6442212	Well, you don't need to argue that in order to prevail, do you?	1
9484026	And I don't know how far that would take us if we--	1
1047012	Right.	1
6031881	How does this violate the student's right to free exercise of religion?	1
48273	I mean, is that the way it works?	1
5371520	It means new cases, and that's it.	1
1436538	And if it is, then you're just wrong about it being only a defensive maneuver.	0
1817383	So if we don't accept your statement that it is the functional equivalent, then what standard do we employ for the tacit consent or the failure to affirmatively respond?	0
1049364	Mr. Comey, I think you rely, in part at least, on this Court's case in Whren--	0
1372042	But there was no attempt to correct what appeared to be a misstatement.	0
5041133	So, you know, it probably isn't burdensome to... in principle, to have some disaffiliation requirement, but does the State have to allow enough time so that the decision can be made with knowledge of whether the Libertarians are going to be on the ballot?	1
9442833	Defendant and his counsel say okay.	1
4833554	--because they don't really exist?	1
1338161	To... to get some kind of liability under the Lanham Act under a reverse passing off theory.	1
5775335	You'd think the latter section would be broader, not narrower.	1
572132	activity.	1
2305887	We're not suggesting that it is -- it is an ordinary incident of the traffic stop that you'd have to take time to stop--	0
4033178	That's kind of the question we have, how... what gloss to put on Taylor.	1
1542928	the national forest.	1
6888320	--I guess we upheld the right of a State to direct that primary... parties have to have a primary election rather than a caucus to select candidates.	1
640669	Is that perfectly okay?	0
8062650	u-	1
2714914	It would be the year received?	1
8981395	But I- But I don't have just legislative history as a matter of fact...	1
1843326	And they might change, as counsel for the Government told us, if there were a different mix of school at some future time, but right now, these leagues are overwhelmingly public.	1
2204973	That's the opposite theory one way, it's very simple case that way.	1
236699	It's such a small segment of the problem.	1
968360	Well, In- Indeed.	0
1928310	Yes, Your Honor, we...	1
3928546	Well, if they said they don't want to do it, then why are you arguing to the contrary?	1
291383	I thought they were all in the same boat.	0
5425450	And do the statistics also tell us how often under a Wende procedure the courts would actually find arguable issues on their review and send it back?	1
7865405	Surely the government can invite an outside group to come and give a speech or put on a presentation using government money, tuition money to ask them to do that.	1
1841815	but my client...	1
3361453	I can't reconcile it.	1
1511975	I thought your position on your brief was that there was no guarantee of the assignment, that one of the reasons why you said you had no remedy is that the labor code gives the prime contractor a right to seek the money that's being suspended, and the labor code itself doesn't give any right to the subcontractor, and therefore you said that there's no remedy guaranteed you under the law, I thought was... that was the position you took in your brief.	1
6146290	I was waiting for the second one but just before we get too far away from it, what was the second?	1
4778692	And so what we've done is introduced a little curlicue and told all the lawyers, by the way, it's when you file the petition in the district court, but for the CPC, and eventually I guess that word would get out.	1
6453079	May I answer as you go?	1
49688	But obviously you're holding up one that's a rectangle, so it makes sense to have the posts on either side, as opposed to the diamond shape, where it makes sense to have it in the middle.	1
7693887	We've been very insistent that you can't keep it away from adults, although a lot of people think it's addictive and harmful.	1
1593271	--You do if it's done before the -- the traffic stop is done.	0
2227992	The court asks again, do you understand that?	0
8121296	And unless you get to... to some fact pattern that... that gets you a... a higher level of scrutiny, it's not so much that we're engaging in rational basis scrutiny.	1
7520654	on the major life activity.	1
2448683	I can't reconcile it.	1
1482109	--supervision, and the consequences of a reversal here would be that he would go back on for a period of--	0
7348936	And so it's maybe closer to Strate.	1
8540660	But I mean, it can't be that... I mean, it can't be that narrow, so what is it about the content that could be better targeted to children than simply the content of cigarette advertising which gives, tries to give the message that it's a nice and sophisticated thing to smoke?	1
5374881	You're saying that Congress can't give this to the EPA unless it holds the rein pretty tight.	1
5394045	Okay, what is your authority for this broad initial proposition you're making?	1
9081488	give the information.	1
4421452	--Was there some reference to veil-piercing in the respondents' brief in the Ninth Circuit?	1
265442	But the law at the time this case arose was different, and there was no requirement... the labor department couldn't require the withholding, is that right?	0
8951094	I I don't s-	1
2216757	worker...	1
6857670	But the national party committees cannot transfer even down $10 to the state party for a voter mobilization plan.	1
2713855	--Well, what about Steel Company, though?	1
2124537	So I... I think there's a problem here.	0
1158836	Then there's no more justification.	0
3472130	but that is not the text of the statute.	1
741668	What has this Court historically done, do you think, on appellate review standard for mixed questions of fact and law?	0
288697	Pardon me?	0
2576576	Yes, here we think there has to be discovery.	1
2201444	Well--	1
7310727	I, I see that...	1
1606320	"""Oh, it should have been somebody else. """	0
1293230	--What's wrong about warning the public about who may be dangerous?	1
1672620	And it -- it is also fair to the plaintiff to be able to pursue this claim, these claims, some of which have nothing to do with the outcome.	0
1550167	Well, isn't it... but they say no, that it's imposed on the delivery to the distributor--	1
481925	Right.	0
8985006	Would such cases merit a CPC?	1
5323747	So at least under the system that we have had with political parties, the political parties are accountable and are transparent.	1
7510342	Is it your position that you consent that you waive immunity in Tribal Court?	1
336371	That the employer had no remedial scheme in place or what is it?	0
8880593	Did you?	1
4448437	Yes, but the rule that you propose would turn every for-cause ruling of the judge into an automatic reversal it seems to me.	1
5150480	On those 100 days, those releases put water in the canal where it is at that time because it is flood water, but on all the other days the water in that canal is not where it is, because of any flood control purpose, so we're talking about the water on all those other days.	1
3334057	thought...	1
3550659	In a document I have called the Post Flood Assessment it says that flood releases may also be made of the Friant Current Canal and Madera Canal if all parties agree, and that's rather baffling to me--	1
5431034	Do you agree with--	1
697062	Now, where are you... you're reading from a Coast Guard regulation?	0
1679294	But the Government--	1
644841	Yes, Your Honor.	0
2312113	Well, Your Honor, in the hypothetical posed...	0
6761739	twenty-one Q in particular.	1
368793	If Congress wanted to say you can't pass any new tougher ozone standard, why didn't it just say it, instead of having a provision in there that says you should revise it every 5 years?	1
8830651	What... what if the State simply decided we're going to put on the Internet, the same way that Alaska does here, the names of all the people who had criminal convictions of any sort without any more information in... in the last 5 years?	1
1899460	It's not a search.	0
984232	that even if...	1
594408	Mr. Mogin, I think it would be helpful if we focused somewhat on the statutory language in this case to figure out what it covers, and we have to read it, I suppose, in light of this Court's decision in McNally, which does appear to suggest that it... the statute covers only the scheme to defraud the victim of money or property, although the statute doesn't say so in so many words.	0
2802986	It's a strange...	1
1199125	Yes, Congress has done nothing about this, has it?	0
3380303	And if the allegation is that the officer did not follow the limitations in the authorized warrant, you think the tribal court can never have jurisdiction over those actions of the officer?	1
1283620	What has this Court historically done, do you think, on appellate review standard for mixed questions of fact and law?	0
4519149	I mean, you're saying--	1
2759709	parents.	1
658410	Well, it... it appeared, at least to me, to look to those areas where Congress required the Coast Guard to make regulations.	0
1157996	Why would it not be wiser for us to say, just to keep the systems running smoothly, look, we are not going to be bound by State court determinations of legislative intent or purpose?	1
5299114	So, this is just a red herring that you're entered into it seems to me.	1
9283550	And do the statistics also tell us how often under a Wende procedure the courts would actually find arguable issues on their review and send it back?	1
2640336	employee. It's  and they have...	1
9628860	Mr. Baker, are there not courts where something like this would come into the clerk's office, the signature is lacking, the clerk would say, well, it was filed within the ninety days, so we'll send it back with the letter, very much as this Court does.	1
9379525	Now, the states have not worked their way through that.	1
5868824	No, I take it... you're saying that, I take it, that the reference that the language on account of failure simply refers to the reason given by the State for withholding, as opposed to the fact of failure or nonfailure.	1
817742	Yes, and I guess that isn't before us--	1
2707268	Right.	1
5770948	Yes, Your Honor.	1
2521193	I  if...	1
5026730	Where do we find the section you're referring to?	1
7265962	That's such a tiny segment of the problem.	1
6402314	I... I look at that thing and it looks pretty amorphous to me.	1
8481699	There's...	1
1151724	But I -- I just don't think it's the right way to go. This is an area that could use some rigor.	0
2139611	Is that what you're saying?	1
9126379	Certainly in my home State of Arizona the casinos are right there in the largest urban center of the State, are they not?	1
1733281	I didn't think that was the evidence.	1
1003965	--on the basis that the respondent was employed as the investment advisor for this plan--	1
6129617	I guess those are not at issue here?	1
1008021	Telecommunications, we we don't have a position.	0
2690629	No.	1
5360641	No--	1
7792631	What I'm trying to figure out is why would a contractor sign a contract to go to a court that's never even heard of our... I mean, never even considered any arbitration matter.	1
7155834	this country.	1
6566093	Are those other than the ones in the footnote 25?	1
7380367	I I mean, I mean, you know it...	1
7753335	Mr. Robbins, we'll hear from you.	1
7707907	I don't see why the fact that it's boiler plate cuts one way or the other.	1
5473719	--and so forth.	1
2178491	I guess I don't really see what the administrative problem is in the back pay context.	1
4945780	restaurant charges...	1
7651251	And it turns out... do you concede that that was, in fact, not a lawful grounds for arrest?	1
1499334	Now, they didn't have that in mind.	1
223961	--do you think, in the board's rule?	0
3131100	Why?	1
4524415	Well, how... how is it retroactive if you say it applies to work performed after the effective date?	1
3984262	or how?	1
6496863	Maybe he deserves stigmatization if... with the high recidivist rate under the facts that Justice O'Connor gave you.	1
387941	What you can do -- no, Your Honor, I think -- Mr. Chief Justice, I think you do.	0
5969320	Mr. McAllister,	1
3488129	Well, don't... please continue to answer.	1
9100241	What we're asking you to speculate on is if the Government prevails and we say, fine, you can take the gas tank off, you don't have to have any degree of reasonable suspicion.	1
4598415	Every claim like that would end up in court under some kind of constitutional analysis.	1
5345532	Well, w- we would disa-	1
5842824	And yet, what you have just said again would indicate that's not a consideration in setting the standards.	1
3872927	restaurant can do is show evidence that would tend to determine, or help determine the amount of the tips, how many wha- what kind of a restaurant you have, how upscale it is, where it's located, the kind of meals you serve in fact, the IRS has a procedure where restaurants can show all that information, a sample menu to get below the eight percent.	1
4779568	ther-	1
3907516	So all this jurisdictional stuff is beside the point, because the rules are fairly clear that there is just... even if it isn't signed, it acts just like it was signed, but it is subject to being stricken.	1
5220914	But the normal rules of retroactivity do not apply uniformly to every matter governed by a statute.	1
2074958	Yes, but it's so odd that the agency that wants to take the position that the issues should be at least mentioned in writing the Appeals Council seeking review... I mean, it could do that without specifying what happens at the district court level... and say, as a claimant, you should set out the issues that you want the council to review, otherwise it won't review them.	1
798970	Isn't that what the form that EEOC...	1
7279399	As a Government funding matter.	1
948523	Does the State...	1
8976540	Why?	1
866403	better than this.	1
4600390	That would be a permissible regulation.	1
2575306	Well, there is a provision, though, in the labor code allowing a prompt hearing with the labor commission, or commissioner, to deal with this problem of the withholding.	1
6006764	All right.	1
7657000	under...	1
1706441	Okay. But we're...	0
3976066	If the...  if the words didn't cover it, there were catch-all provisions, investment contract is one.	1
186895	Well, what statistics are there that support that statement?	1
6156617	Assume a represented party who has a lawyer... a paper is filed which purports to be a notice of appeal on behalf of that person and not signed by anybody.	1
8536721	Miranda itself was from a State court.	1
1695760	[Laughter]	1
6637455	answer the question, though, and I have the same problem Justice Breyer does.	1
5481189	You're talking about the condition today, and what you're saying today is, whenever FERC sets a tariff that leaves the bottom line number to be filled in later, a State utility commission in a ratemaking proceeding may challenge that bottom line number in its own bailiwick.	1
6006189	People comply.	1
401871	So, typically...	1
7994758	a-	1
2245533	In light of that case.	0
1321421	You... you are asserting that Doe I and II are people who are no longer dangerous.	1
7936334	What is the Government's view?	1
9131008	the State does not have an interest...	1
9181116	Could you have sued the prime alleging that you had fully complied and had paid required wages in... under any provision of California law?	1
3400849	There's no escape from it.	1
8127405	Yes.	1
3117825	All you need is some flood control purpose in the project and that's enough, and you win.	1
4806608	That's correct, Your Honor.	1
1817699	Well, if it perceives it as a benefit, why does it have the restriction on coordinated expenditures?	1
8695640	court...	1
835048	--do you have to apply special--	0
1749521	That was a broad categorical rule.	0
1591295	Yes.	1
811410	And you think that there can never be a trade dress protection in some aspect of an expired patented item?	0
1254156	And the concern we have is with this expanded competitive need test that some of the lower courts have begun employing, and I am quite interested to know how you think the two doctrines can fit neatly together, because in an ideal world a trade dress could not cover something that was covered by a patent that's now expired.	1
951688	No.	1
128147	These petitioners are not part of the agreement?	1
6099814	[Laughter]	1
2163988	And this Court said that could comply with the Fourth Amendment?	0
1451742	Absolutely, Your Honor.	1
5050600	might have brought.	1
535479	I just didn't know how that worked.	0
6060460	It's a 20 percent rate, whether its roulette or card games or dice, it's all 20 percent.	1
349155	Is there not a routine urine specimen collected for someone in the hospital and tests employed?	0
8042978	What do you say...	1
3744395	But it would probably be even better if we set it at zero.	1
6234645	taxability at bottom a question of Federal law, do you suppose?	1
1028225	about this?	1
1694487	again I...	1
6149039	answer, and the board and the board cannot know in advance--	1
5139951	contracted workers...	1
6941263	Well, I really think that's irrelevant and that's... Justice Breyer suggested there should be a cap, that assumes the Government doesn't have to be reasonable on an ongoing basis, I think that's just wrong.	1
1486124	Well, I guess you take...	1
657535	Why wouldn't it be helpful to raise issues that the claimant thinks are important before the Appeals Council?	0
5226867	Now, where do you disagree?	1
4025412	And now when I look at the district judge's opinion, one of his points, one of them was not just the war of experts.	1
2972517	So in your view the principal would be quite unconstrained by the Constitution from voting to deny membership to a school because its athletes were black, or Catholic, or something like that?	1
8931046	Tell me.	1
4990897	--We could unify it the way that you don't want.	1
1065603	In 19--	0
6273576	I would have thought it was--	1
5261250	Would that comply with your test because you want to know what that says?	1
4808588	Well, why not?	1
2712490	We know somebody has filed a notice of appeal, but--	1
540406	That's... that's... the question Justice Ginsburg started with is every time... you just replied to Justice Scalia... and what I hear are words that seem to apply with equal force to a perfectly-tailored statute that would catch only the most dangerous sex offenders who everyone agrees are virtually uncontrollable and might repeat their offense many, many times.	1
297961	The State is saying, you give us the money that you owe to the sub.	1
5245754	That... that was the footnote in the Falter case?	1
4286738	interests. That's our case. That's this case.	1
4803392	Well well it's just not reasonable to...	1
1723321	Thank you, Mr. Garre.	1
4882556	What... what about the proposal some of the States have made whereby a provisional license could be given pending the eventual judicial determination?	1
331133	Is that what you're--	1
289669	Is there some way to avoid these problems now?	1
5132492	--Well, at that point at least there would be... I... I assume your... your point would be that there... there is at least a... a credible basis to say that if it covers only those who are affirmatively shown to be dangerous, the object is simply to apprise the public to who is dangerous, and that doesn't sound very punitive.	1
5088853	Excuse me,	1
7279831	Then they're saying, and if you say no billboard at all, that's the same thing.	1
3696823	[Laughter]	1
5563605	Thank you, Mr. Chief Justice.	1
8801422	So it's your burden.	1
9466030	--Well, but if they are bound by it, I don't see why, by a parity of reasoning, their interest may not be considered in valuing the violation.	1
7350498	First I thought that in winning this case, the tribes would lose the war because they'd have an awfully hard time getting people to contract with them.	1
1243836	And off--	0
4918962	Excuse me.	1
8347123	In fact, they rejected them.	1
8084758	But now we're, now we're... what I'm positing is a system in which the political party, which everybody esteems for different reasons, perhaps, but everybody supports, now, on your theory the political party can simply be given another useful task and the useful task, in effect, would be to eliminate the need of the candidate to be scrambling for the $100 contributions if it could accept, in effect, through the party, contributions in the amounts that Justice Breyer was talking about in his hypo a while ago.	1
1618666	Would you say coercion?	1
1082921	A- absolutely Your Honor, and...	0
5869569	--Your Honor, under... under strict scrutiny, which we believe is certainly applicable here, because this is not a contribution limit--	1
1135475	Well, what would they have to do to comply with the judgment of the Ninth Circuit, I mean, the judgment of the district court, which the Ninth Circuit affirmed?	1
3742987	Exactly.	1
2398018	You would also have to show that your underlying claim was substantial, and I don't think you had to do that before.	1
7160425	The Master also decided that there had been no undue delay on the part of Kansas in not instituting suit for another, what was it, 17 years, something like that?	1
2045206	all right.	0
1455810	So now the bulk of the earnings are from slot machines rather than the races.	0
9351187	Then there's a petition filed for habeas in the Federal court.	1
6760713	Maybe... well, this is just to clarify something that I had trouble understanding.	1
4293685	Mr.	1
5663576	Well, do you think it's fair to read the complaint that was filed as putting anyone on notice that it was a veil-piercing case?	1
2218592	That could be true, but to continue the question that the Chief Justice asked, do we at bottom have to apply a clearly erroneous test here to the determination of the facts?	1
2118250	Are... are there separate questions?	1
4155937	You think they didn't need an arrest warrant, they could just have--	1
4305523	artificial State law...	1
7649996	Well, in this case, has the court below directly ruled on whether there's a 107 cause of action here?	1
1566375	Would you tell us how you differ with petitioner on what ought to happen here and why?	1
431206	Well, I guess you would be content with just relying on whatever was disclosed at the plea colloquy in court.	0
7766190	If I may read Yes. Thank you, Justice Stevens.	1
8065911	No, no, no, but--	1
3712015	on...	1
7271057	we...	1
7817416	If it's a direct donation to a state candidate, if it is a Get Out the Vote phone bank that advocates that the voters go to the poll and vote for the governor, if it is a mailing, as under the California... as the California party affidavits of Ms. Bowler and Mr. Irwin indicate, that they send--	1
3308071	contingency...	1
1058498	--adjudicating the correctness of the application of rules for wholesale rates that are contained of thousands or millions of words filed before the Federal Power Commission.	1
4347495	Now, if the state decides not to give school vouchers for use in religious or parochial schools, do you take the position it must, that it has to do one or the other?	1
9109737	question, Your Honor.	1
3000394	penalty.	1
90076	say, does...	1
5512058	But if they are using Levin money, it's a crime.	1
1130185	Now, that was enacted, was it not, in 1887?	1
1010374	They told the Commission to set up a scheme that would be applied, because they wanted to make sentencing more uniformly applied in the Federal scheme of things.	1
1035174	Suppose a state has a school voucher program such as the Court indicated could be upheld in the Zelman case.	1
3057870	But he can certainly waive his Sixth Amendment right later.	1
2248169	--with a reference, and I suppose you would find that invalid as well.	1
1595058	But you don't take that position.	0
314474	I mean, he is not circumscribed in his activities, is he?	1
3691412	penalty phase.	1
66056	Here is the certification date.	1
3523207	The... am I wrong about that?	1
8530279	And it's dealing, Mr. Phillips, with the receipt of benefits by a... it was a beneficiary suing.	1
970458	--pursuing administrative claims adjudication?	1
2717694	In fact, that's the most common sense reading of it I would think.	1
5134499	I don't see why the jury gets into this at all.	1
1988268	That's why we think there needs some leeway for the officers to take some time to pursue -- to pursue the things that they observe.	0
1561531	Uh-huh.	0
2198184	Mi- the best I can tell you...	1
822265	--Well, you... you're saying that if there's a circuit different, there's a denial of equal protection of the law under the Fourteenth Amendment?	1
3066065	That is... I mean, I read your brief.	1
2937408	We were assuming that the parties spending money on gun control advertising, after consulting with the candidate about that, is not a coordinated expense, so the party would be able to do it.	1
8453389	Very well.	1
1074419	You know, if it required closing down the entire, the entire steel industry, for example.	1
3699595	--I was just going to ask you, do you agree with the proposition, or to what extent do you disagree with the proposition that the basic function of the party is to elect candidates and therefore a limitation on the ability of the party to give money to candidates pretty well disables the party from doing what it was created to do?	1
1693455	--Congress--	1
6004426	situation, Justice Chief Justice Rehnquist, in which if something is delayed and I think Justice Scalia asked that question.	1
4986024	This is not a... a Pullman abstention case here.	1
4483613	situation, it -- Right.	1
8275079	And yet the... the trial judge herself said to defense counsel, aren't you going to move for a continuance, when this bullet came... was unearthed after all that time.	1
7679745	It would?	1
1599451	Uh-huh.	1
4556139	The things above here are very bad.	1
7282190	Once...	1
6330385	but my client...	1
311155	May I--	0
2139145	Yes, all right.	0
8098344	So would you like this Court, then, to send it back and say, First Circuit, consider the theories that other courts of appeals have accepted?	1
6129472	What's your position on the jury instruction?	1
3265296	again what...	1
4491002	Well, why should that be so if the intent to appeal is clear from the face of what was filed?	1
1343367	Exactly.	1
1378195	So you don't agree with petitioner's counsel that it's a harder case, but wouldn't give it up?	1
6958439	money...	1
27979	But AT&T didn't bring an antitrust action.	0
1288422	Would you explain that?	0
3031704	What's the matter with stopping transient health of adverse health effects?	1
6874230	It is irrational to conclude that Congress would have defined security...	1
8523600	Sure.	1
496975	But once it's--	1
7326097	What do we do with that?	1
2559369	You're out of the college. I mean, that...	1
7421383	No, but you're talking about the money as though the money were particular dollar bills, and the subcontractor has a right to particular dollar bills that the prime gets from the State.	1
2989063	Well, I really think that's irrelevant and that's... Justice Breyer suggested there should be a cap, that assumes the Government doesn't have to be reasonable on an ongoing basis, I think that's just wrong.	1
5283560	[Laughter]	1
8220455	on the credit card...	1
4989114	--Thank you, Ms. French.	1
1775461	Uh-huh.	1
5974750	Why?	1
4081227	the evidence.	1
8951142	It's...	1
8746946	Congress did not make this distinction.	1
1786216	Yes, but you can't want to open it up to recovery of every bad investment that the plan makes.	0
6938055	doesn't answer the question, exactly.	1
5918377	I can understand that, but it's hard to know why the measure of money damages should be based strictly on, or in part on what the individual farmer would have lost if the State doesn't plan to turn around and give it to the farmer.	1
6756579	[Laughter]	1
3285084	Is that right?	1
3836568	or do they have to...	1
5004687	We're ar-	1
8873940	How's the lawyer supposed to know?	1
473772	--all... all along?	0
2025574	But certainly if you're not judgment-proof, you don't likely undertake an appeal because you can be assessed for costs if you lose it.	1
5705818	of incarceration.	1
6087413	Mr. Bell, wouldn't that be, wouldn't that be...	1
6043955	Well, I don't think we created a fourth question under Texas statutory law.	1
1561551	But does the award of damages from Colorado to Kansas in any way affect the Government's operation of those upstream reservoirs?	1
6886969	itself...	1
6985108	inaudible...	1
4510702	inmates...	1
9474788	But that's one of the things you'd look to?	1
9332689	Right?	1
1666269	No, no. Th- that's...	1
7827218	That's correct, Your Honor.	1
5150401	We could define that as a project that's substantially, but not entirely, used for flood control.	1
8653946	I don't know why you're here arguing there was no probable cause at the scene.	1
191945	all positions throughout the company, or in certain categories of...	0
5639903	you conceded you...	1
2083974	Except it does if you're... if you're right on your theory.	1
6956577	Much more...	1
5045982	I would answer that in two ways .	1
7616313	Justice Souter, the best that we can tell, and this is based on essentially anecdotal reports of U.S. Attorney's Offices, it's somewhere on the order of 20 to 40 percent, roughly, of cases in which new counsel represents the defendant on appeal, but that... I'd... I hesitate to rely too much on that figure, because it is based on the anecdotal reports--	1
1699008	[Laughter]	0
9038833	that?	1
4789380	purposes.	1
244765	He practices it without the same subsidy that is made available to every other citizen except someone who wants to study to be a minister.	1
9494481	violation.	1
9572570	Secondary and elementary --	1
5153589	But now the State enters into that exact same contract.	1
905316	[Laughter]	1
6742289	For purposes of deciding the issue on which we granted certiorari, special needs exception--	1
2075467	Well, let me ask you this with reference to this question of Justice Breyer. I thought, and correct me if I'm wrong, that the district court found the hospital personnel conducted the urine drug screens for medical purposes, wholly independent of an intent to aid law enforcement efforts.	0
29785	The Secretary is not required to reduce funding for programs, projects, or activities serving a tribe to make funds available to another tribe.	0
9024999	You say she can still get it.	1
1672499	Well, it's what the--	1
2056671	[Laughter]	1
9144190	I mean, that... that seems to me a fall-back position that's provided for in the statute.	1
5161447	--Oh, I don't think that follows at all.	1
1616161	And how... how could they possibly do the best job they could on the opinion without letting the parties know what they were trying to do and to address the issue?	0
6988999	[Laughter]	1
256422	Well, even if there are arguable grounds for appeal...	0
6318938	I'm just late.	1
1743815	the act.	0
1037556	That's collateral and it's nothing but an -- an investigation.	0
6985411	Why?	1
919899	But in this case I had assumed there's been no determination whether there were arguable grounds.	0
3534119	That's the problem.	1
8788451	So your basic... one part of your basic rule is, if the plaintiff isn't barred by laches, then the defendant shouldn't be hit with prejudgment interest.	1
1183104	How long was it in effect?	0
9153392	Sullivan, in light of the Johnson case and the Neder case, I think the government has a very strong argument here.	1
716035	All right.	1
8284752	Well, but I mean, how is that different?	1
2000612	That just came out of no place.	0
1930647	Yes.	0
8617539	It wouldn't even mesh with Anders.	1
2011470	--Well, Your Honor, first of all, under strict scrutiny, the Government doesn't even argue this statute can pass strict scrutiny, so if the Court, as we submit that it should, since these, since these restrictions go to the very essence of what political parties do--	1
7561811	gross amount...	1
1098981	So...	1
4534873	But you apparently want us to draw a different one, and what is it?	1
2993925	You're turning your answers on the fact that you can't earmark the, the circuitous route, and so for my assumptions to be correct, I have to be assuming a fact that's debatable, and that is that the tally system works approximately similar to earmarking, but on my assumption that that's factually true, we get to my questions, but on the assumption it's not factually true, then your answers are... is that the point of disagreement?	1
7443719	my interpretation of that perinc- prin- --	1
4771	--He does have an incentive not to have a lawyer, because you're better off without a lawyer when you get to court.	1
5786302	Mr. Bell, a lawyer...	1
2052140	And was it complied with here fully, do you think--	0
538543	Something similar was said in US versus Bagley.	1
286427	Your point is... excuse me, your point I take it is that in your view the trial judge should have granted summary judgment to the officer, is that it?	0
1188334	because...	1
8500828	Well, let... would... would it ever... would the basis for an inadequate assistance of counsel claim ever be apparent on the trial court record without resort to extrinsic evidence?	1
3676425	how you got there. Uh-huh.	1
2016719	Not 1338?	0
145750	--So it didn't, in fact, come to grips with the evidence.	0
843947	go through the collection process.	1
1461353	A- absolutely Your Honor, and...	0
3527262	--Well, obviously, the... the defense counsel didn't know until the motion was made and ruled upon for a bifurcated hearing whether the judge would grant it, and there's no reason presumably that defense counsel should not have investigated the mitigating circumstances pending that ruling.	1
5403725	Well, how about the simple pro... does the statute say it has to be in writing?	1
1854963	There's no question about that.	0
7134695	Explain to me whether we've ever bifurcated forum immunity from immunity for suit... from suit?	1
3687277	last twenty years? I count two.	1
1624815	You want to see that, you want to see this spelled out.	0
3953442	Okay.	1
2054335	Well, the... the Ninth Circuit ruling seems very broad.	0
3864185	Whether it's reasonable has nothing at all to do with whether it's a taking, does it?	1
4058649	Yeah, they...	1
3836350	Well, there's a big difference between being, say, in Seattle, Washington, and Ellis Island, never being able to get off the island.	1
9204635	I thought the statute required that committee to advise the EPA of any adverse public health, welfare, social, economic, or energy effects which may result from various strategies for attainment and maintenance of the national standards.	1
5364241	But it's not open to you to show that the legislature didn't really have that motive for the reason that if the courts permitted you to show it, there would be no end to that.	1
6166172	Well, Ms. Brinkmann, th-	1
9453294	Mi- the best I can tell you...	1
4064185	All right.	1
6357185	So what's the tax   so what's the employer...	1
668988	And yet, you're here arguing that we have to go back and change that.	0
8846392	So it's your position, in effect, that although the Ninth Circuit said it was an applied challenge, in fact the Ninth Circuit itself struck it facially.	1
7833495	Why is this any different?	1
3459518	I thought that's where we were.	1
3791737	And what's your position after 1985?	1
6014867	Is that clear?	1
5688212	It's just as applicable to instances where the Federal tariff is specific.	1
2338354	Is that a finding we have from the lower courts, that he is not dangerous to himself or others?	1
8611530	Your coal deposit is next door.	1
4385358	Is that right?	1
2312516	Yeah. And the Court in Nix made it pretty clear that we assumed there would be a fruits suppression.	0
1122385	Yes, Your Honor, and and I think with...	1
2701435	[Laughter]	1
594869	Well in in looking at a substantial limitation, do we focus on the things that the person cannot do or the things they still can do or both?	1
6499116	You have year-by-year employment.	1
577352	in this case.	1
1080619	Mr. Sarnowski, can I ask you about your interpretation of 2253?	1
5969813	It's not known in the other case that a judge determined this... this person had been cured to the extent that he could have the custody of a... a minor child.	1
1806901	All right. Then that...	0
5320730	This is punitive.	1
7893298	Boykin,	1
1785651	Your Honor, if I may say--	1
7055988	[Laughter]	1
330349	Well, this... this business of having a court recharacterize a motion as a 2255 motion was a doctrine that seems to have been developed before AEDPA was enacted, and some circuits since the enactment of AEDPA have decided that if they're going... if the district court is going to do that, that some notice should be given, certainly to a pro se petitioner, about the consequences of that recharacterization.	0
5424807	Or what about quarantine of someone who has a communicable disease?	1
3856886	I don't understand.	1
8447552	Well, I guess the one other concern would be the timing in Oklahoma is such that the... the Republican or Democrat who wants to disaffiliate in order to vote with the Libertarians has to do so at a time before the State has decided whether to allow the Libertarian Party on the ballot.	1
9234484	if he...	1
6926615	that they weren't...	1
748445	No.	0
789887	But from the officer's perspective, I think there's an interest in officers having some leeway to sequence the traffic stop.	0
7074854	functioning of...	1
2151402	But don't we have an issue here between billboards more than 500 and less than 1,000 feet from the schools?	1
5455905	suggests that an anonymity requirement makes it content-based.	1
1573541	Your Honor, I would say that that sentence --	1
9134815	I would say it has to be exclusive reference under the Siebold regime, Your Honor.	1
9095722	defenses?	1
1533870	No, that wasn't my question.	0
4966395	I'm just awed that you would think you would pick your best cases to give to supply the missing link in the experts' testimony, and yet the ones that you pick as your presumably best cases all make this district even odder shape than it's ever been.	1
223181	I frankly was more concerned with evidence that was newly discovered, and no basis for discovery before.	1
2117085	The fact that a special ed...	1
5177776	in the various...	1
2584651	Okay.	1
